001E07AF.esd,stNIB-v1_06735,Sotub07g024120
MICRO.12509.C2,stNIB-v1_03140,Sotub06g008450
MICRO.12509.C3,stNIB-v1_03140,Sotub06g008450
MICRO.1251.C1,stNIB-v1_02072,Sotub01g036620
MICRO.12510.C1,stNIB-v1_13086,Sotub11g005340
MICRO.12511.C1,stNIB-v1_17665,Sotub12g005060
MICRO.12511.C2,stNIB-v1_17665,Sotub12g005060
MICRO.12512.C1,stNIB-v1_06104,PGSC0003DMG400011128
MICRO.12513.C1,stNIB-v1_01937,Sotub07g006740
MICRO.12514.C1,stNIB-v1_02233,Sotub04g034570
MICRO.12514.C2,stNIB-v1_02233,Sotub04g034570
MICRO.12514.C3,stNIB-v1_02233,Sotub04g034570
MICRO.12515.C1,stNIB-v1_01653,Sotub03g005450
MICRO.12516.C1,stNIB-v1_02866,Sotub08g024330
MICRO.12516.C2,stNIB-v1_02866,Sotub08g024330
MICRO.12517.C1,stNIB-v1_00435,Sotub01g036030
MICRO.12518.C1,stNIB-v1_32840,MICRO.12518.C1
MICRO.12519.C1,stNIB-v1_10210,Sotub04g017360
MICRO.1252.C1,stNIB-v1_17381,Sotub09g024850
MICRO.1252.C2,stNIB-v1_00964,Sotub07g023910
MICRO.1252.C3,stNIB-v1_00964,Sotub07g023910
MICRO.1252.C4,stNIB-v1_17381,Sotub09g024850
MICRO.12520.C1,stNIB-v1_09378,Sotub11g027890
MICRO.12521.C1,stNIB-v1_03126,Sotub12g008420
MICRO.12522.C1,stNIB-v1_00650,Sotub04g008760
MICRO.12523.C1,stNIB-v1_09900,Sotub06g034500
MICRO.12524.C1,stNIB-v1_17025,Sotub06g028870
MICRO.12525.C1,stNIB-v1_13222,Sotub06g010430
MICRO.12526.C1,stNIB-v1_09384,Sotub11g027930
MICRO.12526.C2,stNIB-v1_07859,Sotub02g006010
MICRO.12527.C1,stNIB-v1_03998,Sotub01g028880
MICRO.12528.C1,stNIB-v1_11980,Sotub05g011140
MICRO.12529.C1,stNIB-v1_16285,Sotub01g049410
MICRO.1253.C1,stNIB-v1_05798,Sotub07g026130
MICRO.1253.C2,stNIB-v1_02397,Sotub11g005910
MICRO.1253.C3,stNIB-v1_05798,Sotub07g026130
MICRO.12530.C1,stNIB-v1_00737,Sotub08g006970
MICRO.12531.C1,stNIB-v1_02511,Sotub05g005500
MICRO.12532.C1,stNIB-v1_02511,Sotub05g005500
MICRO.12533.C1,stNIB-v1_04573,Sotub11g026150
MICRO.12534.C1,stNIB-v1_04573,Sotub11g026150
MICRO.12535.C1,stNIB-v1_10743,Sotub02g021700
MICRO.12536.C1,stNIB-v1_25640,MICRO.12536.C1
MICRO.12537.C1,stNIB-v1_15554,PGSC0003DMG401029906
MICRO.12538.C1,stNIB-v1_15554,PGSC0003DMG401029906
MICRO.12539.C1,stNIB-v1_02262,Sotub04g034340
MICRO.1254.C1,stNIB-v1_03368,Sotub07g017930
MICRO.1254.C2,stNIB-v1_03368,Sotub07g017930
MICRO.12540.C1,stNIB-v1_08260,Sotub12g015750
MICRO.12541.C1,stNIB-v1_04914,Sotub09g030150
MICRO.12542.C1,stNIB-v1_01096,Sotub09g006850
MICRO.12543.C1,stNIB-v1_13683,Sotub05g009370
MICRO.12544.C1,stNIB-v1_01572,Sotub03g035140
MICRO.12545.C1,stNIB-v1_13011,Sotub02g018530
MICRO.12546.C1,stNIB-v1_08366,Sotub02g016340
MICRO.12547.C1,stNIB-v1_08366,Sotub02g016340
MICRO.12547.C2,stNIB-v1_08366,Sotub02g016340
MICRO.12548.C1,stNIB-v1_13365,Sotub08g017780
MICRO.12549.C1,stNIB-v1_13019,Sotub02g019150
MICRO.1255.C1,stNIB-v1_07782,Sotub01g010220
MICRO.12550.C1,stNIB-v1_01900,Sotub01g043630
MICRO.12551.C1,stNIB-v1_10205,Sotub01g011500
MICRO.12552.C1,stNIB-v1_01345,Sotub09g007890
MICRO.12553.C1,stNIB-v1_16246,Sotub07g015580
MICRO.12554.C1,stNIB-v1_13296,Sotub12g028430
MICRO.12555.C1,stNIB-v1_12648,Sotub07g005250
MICRO.12557.C2,stNIB-v1_00477,Sotub01g046980
MICRO.12558.C1,stNIB-v1_00477,Sotub01g046980
MICRO.12559.C1,stNIB-v1_10294,Sotub02g015920
MICRO.1256.C1,stNIB-v1_00935,Sotub02g034070
MICRO.12560.C1,stNIB-v1_07822,Sotub01g021860
MICRO.12561.C1,stNIB-v1_03524,Sotub11g013180
MICRO.12562.C1,stNIB-v1_02751,Sotub11g020440
MICRO.12562.C2,stNIB-v1_02751,Sotub11g020440
MICRO.12563.C1,stNIB-v1_15224,PGSC0003DMG401016693
MICRO.12564.C1,stNIB-v1_03693,Sotub04g028680
MICRO.12565.C1,stNIB-v1_13150,Sotub09g006560
MICRO.12566.C1,stNIB-v1_04152,Sotub07g016450
MICRO.12567.C1,stNIB-v1_04152,Sotub07g016450
MICRO.12567.C2,stNIB-v1_02204,PGSC0003DMG400003667
MICRO.12568.C1,stNIB-v1_05969,Sotub10g009220
MICRO.12569.C1,stNIB-v1_01720,Sotub01g014880
MICRO.1257.C1,stNIB-v1_12778,Sotub01g030800
MICRO.12570.C1,stNIB-v1_02925,Sotub04g030070
MICRO.12570.C2,stNIB-v1_02925,Sotub04g030070
MICRO.12571.C1,stNIB-v1_02925,Sotub04g030070
MICRO.12572.C1,stNIB-v1_04137,Sotub05g024140
MICRO.12572.C2,stNIB-v1_04137,Sotub05g024140
MICRO.12572.C3,stNIB-v1_04137,Sotub05g024140
MICRO.12573.C1,stNIB-v1_00543,Sotub05g007480
MICRO.12573.C2,stNIB-v1_00543,Sotub05g007480
MICRO.12574.C1,stNIB-v1_05455,Sotub04g035120
MICRO.12575.C1,stNIB-v1_00330,Sotub05g007130
MICRO.12576.C1,stNIB-v1_00330,Sotub05g007130
MICRO.12577.C1,stNIB-v1_04093,PGSC0003DMG400007147
MICRO.12578.C1,stNIB-v1_05082,Sotub02g030720
MICRO.12579.C1,stNIB-v1_05160,Sotub11g013880
MICRO.1258.C1,stNIB-v1_05950,Sotub12g024760
MICRO.12580.C1,stNIB-v1_05160,Sotub11g013880
MICRO.12581.C1,stNIB-v1_04583,Sotub10g021260
MICRO.12582.C1,stNIB-v1_07894,Sotub01g019470
MICRO.12583.C1,stNIB-v1_03575,Sotub07g018010
MICRO.12584.C1,stNIB-v1_15244,Sotub02g024940
MICRO.12585.C1,stNIB-v1_33394,MICRO.12585.C1
MICRO.12586.C1,stNIB-v1_05284,Sotub12g012910
MICRO.12587.C1,stNIB-v1_15408,Sotub09g020940
MICRO.12588.C1,stNIB-v1_07233,Sotub05g013540
MICRO.12589.C1,stNIB-v1_12631,Sotub11g028990
MICRO.12589.C2,stNIB-v1_12631,Sotub11g028990
MICRO.1259.C1,stNIB-v1_12100,Sotub01g046240
MICRO.12590.C1,stNIB-v1_15359,Sotub07g029120
MICRO.12591.C1,stNIB-v1_01103,Sotub09g007140
MICRO.12592.C1,stNIB-v1_06731,Sotub07g024540
MICRO.12592.C2,stNIB-v1_06731,Sotub07g024540
MICRO.12592.C3,stNIB-v1_06731,Sotub07g024540
MICRO.12593.C1,stNIB-v1_08096,Sotub11g029610
MICRO.12595.C1,stNIB-v1_03912,Sotub01g025840
MICRO.12596.C1,stNIB-v1_10732,Sotub02g022320
MICRO.12597.C1,stNIB-v1_07742,Sotub08g010810
MICRO.12598.C1,stNIB-v1_33490,MICRO.12598.C1
MICRO.12599.C1,stNIB-v1_07140,Sotub11g006700
MICRO.126.C1,stNIB-v1_05561,Sotub02g032900
MICRO.126.C10,stNIB-v1_03229,Sotub10g009150
MICRO.126.C2,stNIB-v1_08866,Sotub05g015520
MICRO.126.C5,stNIB-v1_02481,Sotub03g024100
MICRO.126.C6,stNIB-v1_02481,Sotub03g024100
MICRO.126.C7,stNIB-v1_02481,Sotub03g024100
MICRO.126.C9,stNIB-v1_02481,Sotub03g024100
MICRO.1260.C1,stNIB-v1_13573,Sotub06g017740
MICRO.1260.C2,stNIB-v1_13573,Sotub06g017740
MICRO.12600.C1,stNIB-v1_12639,Sotub05g017330
MICRO.12601.C1,stNIB-v1_16087,Sotub01g015350
MICRO.12602.C1,stNIB-v1_14937,Sotub06g018120
MICRO.12603.C1,stNIB-v1_04932,Sotub06g031950
MICRO.12604.C1,stNIB-v1_10064,Sotub08g006240
MICRO.12605.C1,stNIB-v1_01830,Sotub11g028290
MICRO.12606.C1,stNIB-v1_06100,Sotub10g023130
MICRO.12607.C1,stNIB-v1_15695,Sotub02g017250
MICRO.12609.C1,stNIB-v1_14191,Sotub09g023950
MICRO.1261.C1,stNIB-v1_04549,Sotub11g026010
MICRO.12611.C1,stNIB-v1_03569,Sotub07g017910
MICRO.12613.C1,stNIB-v1_16787,Sotub04g033090
MICRO.12613.C2,stNIB-v1_16787,Sotub04g033090
MICRO.12614.C1,stNIB-v1_01429,PGSC0003DMG400017999
MICRO.12615.C1,stNIB-v1_05479,Sotub04g036140
MICRO.12617.C1,stNIB-v1_06537,Sotub11g017810
MICRO.12619.C1,stNIB-v1_15492,Sotub06g035440
MICRO.1262.C1,stNIB-v1_03780,Sotub10g018330
MICRO.1262.C13,stNIB-v1_00525,Sotub04g023190
MICRO.1262.C16,stNIB-v1_27960,PGSC0003DMG400000777
MICRO.1262.C17,stNIB-v1_00525,Sotub04g023190
MICRO.1262.C18,stNIB-v1_00525,Sotub04g023190
MICRO.1262.C19,stNIB-v1_00526,Sotub04g023200
MICRO.1262.C20,stNIB-v1_00525,Sotub04g023190
MICRO.1262.C21,stNIB-v1_09045,Sotub09g030060
MICRO.1262.C3,stNIB-v1_00525,Sotub04g023190
MICRO.1262.C4,stNIB-v1_00525,Sotub04g023190
MICRO.1262.C6,stNIB-v1_00526,Sotub04g023200
MICRO.1262.C7,stNIB-v1_00525,Sotub04g023190
MICRO.1262.C8,stNIB-v1_05566,Sotub02g033010
MICRO.1262.C9,stNIB-v1_14054,PGSC0003DMG400031552
MICRO.12620.C1,stNIB-v1_16428,Sotub02g026190
MICRO.12621.C1,stNIB-v1_06472,PGSC0003DMG400011881
MICRO.12621.C2,stNIB-v1_06472,PGSC0003DMG400011881
MICRO.12622.C1,stNIB-v1_11877,Sotub04g025280
MICRO.12623.C1,stNIB-v1_13270,Sotub12g027700
MICRO.12625.C1,stNIB-v1_27059,bf_mxflxxxx_0049d01.t3m.scf
MICRO.12626.C1,stNIB-v1_12634,Sotub11g028750
MICRO.12627.C1,stNIB-v1_15660,Sotub06g021790
MICRO.12628.C1,stNIB-v1_00579,Sotub08g025180
MICRO.12629.C1,stNIB-v1_15491,Sotub06g035220
MICRO.1263.C1,stNIB-v1_03521,Sotub11g013260
MICRO.12630.C1,stNIB-v1_07791,Sotub08g019050
MICRO.12631.C1,stNIB-v1_01165,Sotub08g022790
MICRO.12632.C1,stNIB-v1_06979,Sotub02g030330
MICRO.12633.C1,stNIB-v1_09577,Sotub06g015200
MICRO.12635.C1,stNIB-v1_15489,Sotub04g027520
MICRO.12635.C2,stNIB-v1_15489,Sotub04g027520
MICRO.12636.C1,stNIB-v1_07909,PGSC0003DMG400015123
MICRO.12637.C1,stNIB-v1_08487,Sotub02g023690
MICRO.12637.C3,stNIB-v1_08487,Sotub02g023690
MICRO.12637.C4,stNIB-v1_08487,Sotub02g023690
MICRO.12638.C1,stNIB-v1_07163,Sotub12g011790
MICRO.12639.C1,stNIB-v1_10473,Sotub05g022230
MICRO.1264.C1,stNIB-v1_06621,Sotub08g027110
MICRO.12640.C1,stNIB-v1_08205,Sotub03g015280
MICRO.12641.C1,stNIB-v1_12720,Sotub07g025490
MICRO.12642.C1,stNIB-v1_02656,Sotub08g006810
MICRO.12643.C1,stNIB-v1_03925,Sotub01g026360
MICRO.12644.C1,stNIB-v1_07364,Sotub01g010750
MICRO.12645.C1,stNIB-v1_03657,Sotub01g027020
MICRO.12645.C3,stNIB-v1_03657,Sotub01g027020
MICRO.12646.C1,stNIB-v1_13310,Sotub12g027620
MICRO.12648.C1,stNIB-v1_05287,Sotub01g009530
MICRO.12649.C1,stNIB-v1_01585,Sotub12g022710
MICRO.1265.C1,stNIB-v1_33225,MICRO.1265.C1
MICRO.1265.C2,stNIB-v1_27642,MICRO.1265.C2
MICRO.12650.C1,stNIB-v1_05431,Sotub04g022480
MICRO.12651.C1,stNIB-v1_27979,PGSC0003DMG400046271
MICRO.12652.C1,stNIB-v1_09858,Sotub03g014110
MICRO.12653.C1,stNIB-v1_09280,Sotub01g006990
MICRO.12653.C2,stNIB-v1_09280,Sotub01g006990
MICRO.12654.C1,stNIB-v1_05981,Sotub07g014560
MICRO.12655.C1,stNIB-v1_07138,Sotub11g006760
MICRO.12656.C1,stNIB-v1_12883,Sotub10g026670
MICRO.12657.C1,stNIB-v1_10995,Sotub09g005350
MICRO.12658.C1,stNIB-v1_12526,Sotub05g025350
MICRO.12658.C2,stNIB-v1_12526,Sotub05g025350
MICRO.12659.C1,stNIB-v1_00352,Sotub02g036210
MICRO.1266.C1,stNIB-v1_05748,Sotub05g009250
MICRO.12660.C1,stNIB-v1_00804,PGSC0003DMG400001278
MICRO.12660.C2,stNIB-v1_00804,PGSC0003DMG400001278
MICRO.12661.C1,stNIB-v1_14514,PGSC0003DMG400036663
MICRO.12664.C1,stNIB-v1_02536,Sotub12g024610
MICRO.12664.C2,stNIB-v1_02536,Sotub12g024610
MICRO.12665.C1,stNIB-v1_28179,Sotub10g009970
MICRO.12666.C1,stNIB-v1_09135,Sotub03g025570
MICRO.12667.C1,stNIB-v1_03884,Sotub01g026260
MICRO.12668.C1,stNIB-v1_02694,Sotub04g021700
MICRO.12669.C1,stNIB-v1_00751,Sotub02g012380
MICRO.1267.C1,stNIB-v1_09830,Sotub08g020450
MICRO.1267.C2,stNIB-v1_09830,Sotub08g020450
MICRO.12670.C1,stNIB-v1_01723,Sotub04g005110
MICRO.12671.C1,stNIB-v1_01356,Sotub05g017640
MICRO.12672.C1,stNIB-v1_13166,Sotub05g018180
MICRO.12672.C2,stNIB-v1_13166,Sotub05g018180
MICRO.12673.C1,stNIB-v1_05881,Sotub04g018760
MICRO.12674.C1,stNIB-v1_05531,Sotub04g035870
MICRO.12675.C1,stNIB-v1_04676,Sotub02g017240
MICRO.12676.C1,stNIB-v1_07274,Sotub12g017440
MICRO.12677.C1,stNIB-v1_01858,Sotub10g028670
MICRO.12677.C2,stNIB-v1_01858,Sotub10g028670
MICRO.12678.C1,stNIB-v1_12111,PGSC0003DMG400025953
MICRO.12678.C2,stNIB-v1_12111,PGSC0003DMG400025953
MICRO.12678.C3,stNIB-v1_12112,PGSC0003DMG400025954
MICRO.12679.C1,stNIB-v1_08827,Sotub07g022580
MICRO.1268.C1,stNIB-v1_00716,Sotub01g023110
MICRO.12680.C1,stNIB-v1_12717,PGSC0003DMG400027623
MICRO.12681.C1,stNIB-v1_08614,Sotub06g023730
MICRO.12681.C2,stNIB-v1_08614,Sotub06g023730
MICRO.12682.C1,stNIB-v1_01280,Sotub12g026060
MICRO.12683.C1,stNIB-v1_00142,Sotub01g033100
MICRO.12684.C1,stNIB-v1_09653,Sotub10g017740
MICRO.12685.C2,stNIB-v1_14002,Sotub02g005650
MICRO.12686.C1,stNIB-v1_10365,Sotub10g019060
MICRO.12687.C1,stNIB-v1_10250,Sotub12g028720
MICRO.12688.C1,stNIB-v1_13130,Sotub12g011330
MICRO.12689.C1,stNIB-v1_17062,Sotub07g009070
MICRO.1269.C1,stNIB-v1_08683,Sotub03g016620
MICRO.12690.C1,stNIB-v1_05473,Sotub04g035940
MICRO.12691.C1,stNIB-v1_07282,Sotub07g016290
MICRO.12691.C2,stNIB-v1_01783,Sotub12g008720
MICRO.12692.C1,stNIB-v1_07216,Sotub03g005510
MICRO.12694.C1,stNIB-v1_35123,MICRO.12694.C1
MICRO.12695.C1,stNIB-v1_08254,Sotub05g017840
MICRO.12696.C1,stNIB-v1_12762,Sotub04g010200
MICRO.12697.C1,stNIB-v1_06860,Sotub02g028970
MICRO.12698.C1,stNIB-v1_11157,PGSC0003DMG400023483
MICRO.12699.C1,stNIB-v1_09114,Sotub03g025960
MICRO.127.C1,stNIB-v1_10073,Sotub06g006220
MICRO.127.C2,stNIB-v1_10073,Sotub06g006220
MICRO.127.C3,stNIB-v1_10073,Sotub06g006220
MICRO.127.C4,stNIB-v1_10073,Sotub06g006220
MICRO.1270.C1,stNIB-v1_06215,Sotub09g025810
MICRO.12700.C1,stNIB-v1_06689,Sotub08g028700
MICRO.12700.C2,stNIB-v1_06689,Sotub08g028700
MICRO.12701.C1,stNIB-v1_26430,MICRO.12701.C1
MICRO.12702.C1,stNIB-v1_10825,Sotub05g011900
MICRO.12703.C1,stNIB-v1_14001,Sotub06g019830
MICRO.12704.C1,stNIB-v1_02429,Sotub02g031960
MICRO.12705.C2,stNIB-v1_04266,Sotub08g019680
MICRO.12705.C3,stNIB-v1_04266,Sotub08g019680
MICRO.12706.C1,stNIB-v1_11871,Sotub04g008440
MICRO.12706.C2,stNIB-v1_11871,Sotub04g008440
MICRO.12706.C3,stNIB-v1_11871,Sotub04g008440
MICRO.12707.C1,stNIB-v1_05688,Sotub10g015590
MICRO.12707.C2,stNIB-v1_05688,Sotub10g015590
MICRO.12707.C3,stNIB-v1_05688,Sotub10g015590
MICRO.12708.C1,stNIB-v1_16410,Sotub02g023120
MICRO.12709.C1,stNIB-v1_16408,Sotub02g023070
MICRO.1271.C1,stNIB-v1_01161,Sotub08g022940
MICRO.1271.C2,stNIB-v1_01161,Sotub08g022940
MICRO.12710.C1,stNIB-v1_10426,Sotub09g007430
MICRO.12711.C1,stNIB-v1_11523,Sotub03g028300
MICRO.12712.C1,stNIB-v1_13003,Sotub02g018790
MICRO.12712.C2,stNIB-v1_13003,Sotub02g018790
MICRO.12713.C1,stNIB-v1_12844,Sotub01g015850
MICRO.12714.C1,stNIB-v1_15507,Sotub06g023530
MICRO.12715.C1,stNIB-v1_06388,Sotub07g012310
MICRO.12716.C1,stNIB-v1_08354,Sotub11g009010
MICRO.12717.C1,stNIB-v1_06348,Sotub09g027320
MICRO.12718.C1,stNIB-v1_06348,Sotub09g027320
MICRO.12719.C1,stNIB-v1_10937,Sotub04g017900
MICRO.1272.C1,stNIB-v1_05690,Sotub06g008360
MICRO.1272.C2,stNIB-v1_05690,Sotub06g008360
MICRO.12720.C1,stNIB-v1_15932,Sotub05g005870
MICRO.12721.C1,stNIB-v1_13469,PGSC0003DMG400029872
MICRO.12722.C1,stNIB-v1_16951,Sotub06g013210
MICRO.12723.C1,stNIB-v1_08217,Sotub03g015410
MICRO.12724.C1,stNIB-v1_05750,Sotub02g029240
MICRO.12725.C1,stNIB-v1_02200,Sotub02g026670
MICRO.12726.C1,stNIB-v1_12359,Sotub11g024770
MICRO.12727.C2,stNIB-v1_03194,PGSC0003DMG400005442
MICRO.12727.C3,stNIB-v1_03194,PGSC0003DMG400005442
MICRO.12728.C1,stNIB-v1_12736,Sotub06g035420
MICRO.12729.C1,stNIB-v1_09293,Sotub08g008560
MICRO.1273.C1,stNIB-v1_15176,Sotub05g023560
MICRO.1273.C2,stNIB-v1_15176,Sotub05g023560
MICRO.12730.C1,stNIB-v1_35523,MICRO.12730.C1
MICRO.12731.C1,stNIB-v1_09123,Sotub03g025070
MICRO.12732.C1,stNIB-v1_03172,Sotub12g018420
MICRO.12733.C1,stNIB-v1_08379,Sotub11g009800
MICRO.12733.C2,stNIB-v1_08379,Sotub11g009800
MICRO.12735.C1,stNIB-v1_00496,Sotub01g047100
MICRO.12736.C1,stNIB-v1_12578,Sotub04g012890
MICRO.12736.C2,stNIB-v1_12578,Sotub04g012890
MICRO.12739.C1,stNIB-v1_16962,Sotub06g014510
MICRO.1274.C1,stNIB-v1_05215,Sotub04g029130
MICRO.12740.C2,stNIB-v1_01829,Sotub11g028310
MICRO.12741.C1,stNIB-v1_15012,Sotub11g012110
MICRO.12741.C2,stNIB-v1_15012,Sotub11g012110
MICRO.12742.C1,stNIB-v1_04206,Sotub11g023690
MICRO.12743.C1,stNIB-v1_10715,Sotub02g021840
MICRO.12744.C1,stNIB-v1_17685,Sotub12g011070
MICRO.12745.C1,stNIB-v1_01097,Sotub10g024480
MICRO.12747.C1,stNIB-v1_11054,Sotub10g012820
MICRO.12747.C2,stNIB-v1_11054,Sotub10g012820
MICRO.12748.C1,stNIB-v1_16822,Sotub08g011940
MICRO.12749.C1,stNIB-v1_04810,Sotub09g015580
MICRO.1275.C1,stNIB-v1_04035,Sotub10g028840
MICRO.1275.C2,stNIB-v1_02744,Sotub12g031430
MICRO.1275.C3,stNIB-v1_02744,Sotub12g031430
MICRO.12750.C1,stNIB-v1_02061,Sotub02g005350
MICRO.12750.C4,stNIB-v1_08312,Sotub11g008800
MICRO.12751.C1,stNIB-v1_06668,Sotub08g028710
MICRO.12752.C1,stNIB-v1_09818,Sotub03g022460
MICRO.12753.C1,stNIB-v1_16935,Sotub06g009430
MICRO.12754.C1,stNIB-v1_04410,Sotub07g007760
MICRO.12755.C1,stNIB-v1_07790,Sotub08g019040
MICRO.12756.C1,stNIB-v1_00191,Sotub12g009720
MICRO.12757.C1,stNIB-v1_11061,Sotub10g013470
MICRO.12758.C1,stNIB-v1_04482,Sotub04g031710
MICRO.12758.C2,stNIB-v1_04482,Sotub04g031710
MICRO.12759.C1,stNIB-v1_15844,PGSC0003DMG402021049
MICRO.1276.C1,stNIB-v1_08228,Sotub12g018630
MICRO.1276.C3,stNIB-v1_08228,Sotub12g018630
MICRO.12760.C1,stNIB-v1_05938,Sotub12g018830
MICRO.12761.C1,stNIB-v1_03956,Sotub02g013200
MICRO.12762.C1,stNIB-v1_13218,Sotub06g010990
MICRO.12764.C1,stNIB-v1_07935,Sotub03g023710
MICRO.12765.C1,stNIB-v1_02268,Sotub04g034610
MICRO.12766.C1,stNIB-v1_08536,Sotub04g021100
MICRO.12767.C1,stNIB-v1_04607,Sotub04g012530
MICRO.12768.C1,stNIB-v1_07156,Sotub11g007910
MICRO.1277.C2,stNIB-v1_13359,Sotub08g017520
MICRO.12770.C1,stNIB-v1_17439,Sotub10g011200
MICRO.12770.C2,stNIB-v1_04935,Sotub09g009260
MICRO.12770.C3,stNIB-v1_04935,Sotub09g009260
MICRO.12770.C4,stNIB-v1_04935,Sotub09g009260
MICRO.12770.C5,stNIB-v1_12766,Sotub04g010100
MICRO.12771.C1,stNIB-v1_03692,PGSC0003DMG400006376
MICRO.12772.C1,stNIB-v1_01603,Sotub03g036270
MICRO.12773.C1,stNIB-v1_12028,Sotub01g044400
MICRO.12774.C1,stNIB-v1_15525,Sotub06g026010
MICRO.12775.C1,stNIB-v1_16184,Sotub01g026190
MICRO.12776.C1,stNIB-v1_15728,Sotub07g006080
MICRO.12777.C1,stNIB-v1_27801,PGSC0003DMG400036243
MICRO.12778.C1,stNIB-v1_09421,Sotub12g020410
MICRO.12779.C1,stNIB-v1_16569,Sotub03g022880
MICRO.1278.C1,stNIB-v1_14353,Sotub08g016630
MICRO.12780.C1,stNIB-v1_11967,PGSC0003DMG400025553
MICRO.12781.C1,stNIB-v1_13513,Sotub06g011300
MICRO.12782.C1,stNIB-v1_02275,Sotub09g021210
MICRO.12783.C1,stNIB-v1_07775,Sotub06g034160
MICRO.12784.C1,stNIB-v1_16664,Sotub04g014850
MICRO.12784.C2,stNIB-v1_16664,Sotub04g014850
MICRO.12785.C1,stNIB-v1_11785,Sotub04g026260
MICRO.12786.C1,stNIB-v1_00483,Sotub02g027610
MICRO.12787.C1,stNIB-v1_06141,Sotub07g006320
MICRO.12788.C1,stNIB-v1_06411,Sotub05g014680
MICRO.12789.C1,stNIB-v1_15442,Sotub11g018120
MICRO.1279.C1,stNIB-v1_16111,Sotub01g017870
MICRO.1279.C2,stNIB-v1_16111,Sotub01g017870
MICRO.1279.C3,stNIB-v1_13571,Sotub06g017690
MICRO.1279.C4,stNIB-v1_13571,Sotub06g017690
MICRO.1279.C5,stNIB-v1_16111,Sotub01g017870
MICRO.1279.C6,stNIB-v1_16111,Sotub01g017870
MICRO.12790.C1,stNIB-v1_08155,Sotub11g008350
MICRO.12792.C1,stNIB-v1_08634,Sotub01g016350
MICRO.12793.C1,stNIB-v1_06364,Sotub09g016600
MICRO.12794.C1,stNIB-v1_05590,Sotub02g032840
MICRO.12797.C1,stNIB-v1_14692,PGSC0003DMG400042411
MICRO.12798.C1,stNIB-v1_16691,Sotub04g017000
MICRO.12799.C1,stNIB-v1_07777,Sotub06g008200
MICRO.128.C1,stNIB-v1_00099,Sotub05g022220
MICRO.128.C2,stNIB-v1_09049,Sotub09g022890
MICRO.128.C3,stNIB-v1_09049,Sotub09g022890
MICRO.1280.C1,stNIB-v1_09411,Sotub04g025620
MICRO.1280.C2,stNIB-v1_09411,Sotub04g025620
MICRO.12800.C1,stNIB-v1_13818,Sotub04g028120
MICRO.12801.C1,stNIB-v1_09783,Sotub04g013310
MICRO.12802.C1,stNIB-v1_15642,Sotub03g017830
MICRO.12803.C1,stNIB-v1_12911,Sotub10g027220
MICRO.12804.C1,stNIB-v1_13316,Sotub12g029030
MICRO.12805.C1,stNIB-v1_06930,Sotub03g007600
MICRO.12807.C1,stNIB-v1_15485,Sotub11g010480
MICRO.12808.C1,stNIB-v1_13159,Sotub06g016340
MICRO.12809.C1,stNIB-v1_01270,Sotub12g026040
MICRO.1281.C1,stNIB-v1_10376,Sotub02g030450
MICRO.12810.C1,stNIB-v1_04715,Sotub01g005720
MICRO.12810.C2,stNIB-v1_04715,Sotub01g005720
MICRO.12811.C1,stNIB-v1_10804,Sotub03g009080
MICRO.12812.C1,stNIB-v1_09016,Sotub11g020310
MICRO.12812.C2,stNIB-v1_09016,Sotub11g020310
MICRO.12813.C1,stNIB-v1_26337,MICRO.12813.C1
MICRO.12814.C1,stNIB-v1_11843,Sotub08g010400
MICRO.12815.C1,stNIB-v1_00775,Sotub12g030050
MICRO.12816.C1,stNIB-v1_06676,Sotub08g029020
MICRO.12817.C1,stNIB-v1_00119,Sotub01g032320
MICRO.12818.C1,stNIB-v1_14363,Sotub03g022560
MICRO.12819.C1,stNIB-v1_33615,MICRO.12819.C1
MICRO.1282.C1,stNIB-v1_08037,Sotub12g005160
MICRO.1282.C2,stNIB-v1_08037,Sotub12g005160
MICRO.1282.C4,stNIB-v1_10323,Sotub10g008060
MICRO.1282.C5,stNIB-v1_10323,Sotub10g008060
MICRO.12820.C1,stNIB-v1_08978,Sotub04g026740
MICRO.12821.C1,stNIB-v1_33671,MICRO.12821.C1
MICRO.12822.C1,stNIB-v1_02944,Sotub04g029940
MICRO.12823.C1,stNIB-v1_14608,PGSC0003DMG404013246
MICRO.12824.C1,stNIB-v1_00867,Sotub02g033850
MICRO.12825.C1,stNIB-v1_15823,Sotub07g026180
MICRO.12826.C1,stNIB-v1_12232,PGSC0003DMG400026255
MICRO.12827.C1,stNIB-v1_06771,Sotub11g009600
MICRO.12828.C1,stNIB-v1_11781,Sotub04g026500
MICRO.12829.C1,stNIB-v1_02520,Sotub03g008330
MICRO.1283.C1,stNIB-v1_07206,Sotub03g005230
MICRO.12830.C1,stNIB-v1_01589,Sotub03g035670
MICRO.12831.C1,stNIB-v1_12868,PGSC0003DMG400028078
MICRO.12832.C1,stNIB-v1_12868,PGSC0003DMG400028078
MICRO.12833.C1,stNIB-v1_00833,Sotub02g035000
MICRO.12834.C1,stNIB-v1_00833,Sotub02g035000
MICRO.12835.C1,stNIB-v1_17181,Sotub08g009920
MICRO.12836.C1,stNIB-v1_08809,Sotub07g022850
MICRO.12837.C1,stNIB-v1_00914,Sotub02g012850
MICRO.12838.C1,stNIB-v1_00044,Sotub01g032700
MICRO.12839.C1,stNIB-v1_32867,MICRO.12839.C1
